egg,ek,,Oeuf,Food and Drinks
food,Kakae,,aliments,Food and Drinks
island cabbage,kabij,,chou de l'île,Food and Drinks
Ngali nut,Nangae,,,Food and Drinks
oil,oel,,pétrole,Food and Drinks
pork,pig,,porc,Food and Drinks
rice,raes,,riz,Food and Drinks
salt,sol,,sel,Food and Drinks
soup,sup,,soupe,Food and Drinks
sugar,suga,,sucre,Food and Drinks
sweet potato,kumala,,patate douce,Food and Drinks
taro,taro,,taro,Food and Drinks
yam,yam,,patate douce,Food and Drinks
Cabbage,Kabis,,Chou,Food and Drinks
Clam shell,Natalae,,Coquille de palourde,Food and Drinks
Crab,Krab,,Crabe,Food and Drinks
Meat,Mit,,viande,Food and Drinks
Tin,Tin,,Étain,Food and Drinks
apple,Apol,,Pomme,Food and Drinks
banana,Banana,,banane,Food and Drinks
fruit,frut,,fruit,Food and Drinks
grapefruit,pamplemus,,pamplemousse,Food and Drinks
guava,guava,,goyave,Food and Drinks
lemon,lemon,,citron,Food and Drinks
mandarin,mandarin,,mandarin,Food and Drinks
mango,mango,,mangue,Food and Drinks
orange,Aranis,,Orange,Food and Drinks
papaya,popo,,Papaye,Food and Drinks
pineapple,paenapol,,ananas,Food and Drinks
watermelon,wotamelon,,pastèque,Food and Drinks
beach,Sanbij,,plage,Geography
forest,bus,,forêt,Geography
Hill,Hil,,Colline,Geography
lake,lek,,Lac,Geography
mountain,maonten,,Montagne,Geography
ocean,solwota,,océan,Geography
river,riva,,rivière,Geography
waterfall,wotafol,,cascade,Geography
woods,bus,,les bois,Geography
bathroom,Toilet,,salle de bains,House
bed,Bed,,lit,House
bedroom,Bedrum,,chambre,House
blanket,Blangket,,couverture,House
ceiling,Siling,,plafond,House
chair,Jea,,chaise,House
couch,sofa,,canapé,House
curtain,kabod,,rideau,House
desk,des,,bureau,House
door,doa,,porte,House
fan,Fanis,,ventilateur,House
floor,floa,,sol,House
key,ki,,clé,House
kitchen,kijin,,cuisine,House
lock,lok,,fermer à clé,House
mirror,glas,,miroir,House
roof,ruf,,toit,House
room,rum,,chambre,House
shelf,selef,,étagère,House
stairs,step,,escaliers,House
table,tebol,,table,House
toilet,toilet,,toilette,House
wall,wol,,mur,House
window,windo,,fenêtre,House
bowl,Bol,,bol,Kitchen
cup,kap,,Coupe,Kitchen
dish,plet,,plat,Kitchen
fork,fok,,fourchette,Kitchen
glass,glas,,verre,Kitchen
knife,naef,,couteau,Kitchen
mug,namel,,agresser,Kitchen
napkin,napkin,,serviette de table,Kitchen
pitcher,jag,,lanceur,Kitchen
plate,plet,,assiette,Kitchen
salt,sol,,sel,Kitchen
spoon,spun,,cuillère,Kitchen
April,Eprel,,avril,Dates
August,Okis,,août,Dates
December,Disemba,,décembre,Dates
February,februari,,février,Dates
January,jenuwari,,janvier,Dates
July,julae,,juillet,Dates
June,jun,,juin,Dates
March,maj,,Mars,Dates
May,mei,,Mai,Dates
November,novemba,,novembre,Dates
October,oktoba,,octobre,Dates
September,septemba,,septembre,Dates
Airport,Eapot,,aéroport,Nouns
America,Amerika,,Amérique,Nouns
Area,Saed,,Région,Nouns
Australia,Ostrelia,,Australie,Nouns
Bamboo,Bambu,,Bambou,Nouns
Bank,Bang,,Banque,Nouns
Banyan,Nabanga,,Banian,Nouns
Basket,Basket,,Panier,Nouns
Benzine,Bensin,,Benzine,Nouns
Bible,Baebol,,Bible,Nouns
Bicycle,Baskel,,Vélo,Nouns
Bishop,Bisop,,Évêque,Nouns
Bislama,Bislama,,Bislama,Nouns
Bottle,Botel,,Bouteille,Nouns
Bus,Bas,,Autobus,Nouns
Bush,Bus,,brousse,Nouns
Car,Trak,,Voiture,Nouns
Car,Smol trak,,Voiture,Nouns
Carton,Katen,,Carton,Nouns
Cassette,Kaset,,Cassette,Nouns
Committee,Komiti,,Comité,Nouns
Company,Kampani,,Compagnie,Nouns
Compass,Kampas,,Boussole,Nouns
Co-operative,Koprativ,,Coopérative,Nouns
Country,Kantri,,Pays,Nouns
Devil,Devel,,Diable,Nouns
Dollar,Dola,,Dollar,Nouns
money,mani,seleng,argent,Nouns
End,Finis,,Fin,Nouns
End,En,,Fin,Nouns
Engine,Enjin,,Moteur,Nouns
English,Inglis,,Anglais,Nouns
Fence,Fanis,,Clôture,Nouns
Fever,Fiva,,Fièvre,Nouns
Flute,Bambu,,Flûte,Nouns
France,Franis,,France,Nouns
French,Franis,,français,Nouns
Front,Fes,,De face,Nouns
Future,Fiuja,,Avenir,Nouns
Gasoline,Bensin,,De l'essence,Nouns
Government,Gavman,,Gouvernement,Nouns
Half,Haf,,Moitié,Nouns
Handkerchief,Angekejif,,Mouchoir,Nouns
Holiday,Holidei,,Vacances,Nouns
House,Haos,,Maison,Nouns
Inside,Insaed,lolona,À l'intérieur,Nouns
Island,Aelan,,Île,Nouns
Kaori Tree,Kaori,,Kaori Tree,Nouns
Language,Lanwis,,La langue,Nouns
Large amount,Bigwan,,Une grande quantité,Nouns
Lawyer Cane,Layaken,,Avocat Canne,Nouns
Life,Laef,,La vie,Nouns
Line,Laen,,Ligne,Nouns
Local,Man ples,,Local,Nouns
Loin cloth,Kaliko,,Pagne,Nouns
Malaria,Fiva,,Paludisme,Nouns
Manner,Fasin,,Manière,Nouns
Medecine,Meresin,,Médecine,Nouns
Meeting,Miting,,Réunion,Nouns
Minute,Minit,,Minute,Nouns
Month,Manis,,Mois,Nouns
Moon,Mun,,Lune,Nouns
Music,Miusek,,La musique,Nouns
Name,Nem,,prénom,Nouns
News,Nius,,Nouvelles,Nouns
Newspaper,Niuspepa,,Journal,Nouns
Office,Ofis,,Bureau,Nouns
On top,Antap,,En haut,Nouns
Opinion,Tingting,,Opinion,Nouns
Paint,Pen,,Peindre,Nouns
Part of,Haf,,demi,Nouns
Penis wrapper,Nambas,,,Nouns
Phone,Telefon,,Téléphone,Nouns
Photo,Foto,,Photo,Nouns
Piece,Pis,mavise,Pièce,Nouns
Pillow,Pilo,,Oreiller,Nouns
Plant,Planem,,Plante,Nouns
Price,Praes,,Prix,Nouns
Question,Kwesten,,Question,Nouns
Reef,Rif,,Récif,Nouns
Refrigerator,Aesbokis,,Réfrigérateur,Nouns
Republic,Ripablik,,République,Nouns
Residue,Makas,,Résidu,Nouns
Rifle,Masket,,Fusil,Nouns
Ring,Ring,,Bague,Nouns
Road,Rod,,Route,Nouns
Rope,Rop,,Corde,Nouns
Shore,Soa,,Rive,Nouns
Side,Saed,,Côté,Nouns
Skin,Skin,,Peau,Nouns
Soccer,Futbol,,Football,Nouns
Spear,Spia,,Lance,Nouns
Spirit,Devel,,Esprit,Nouns
Stick,Stik,,Bâton,Nouns
Stone,Ston,,Pierre,Nouns
Store,Stoa,,le magasin,Nouns
Textile,Kaliko,,Textile,Nouns
Ticket,Tiket,,Billet,Nouns
Town,Taon,,Ville,Nouns
Tradition,Kastom,,Tradition,Nouns
Truck,Trak,,un camion,Nouns
Vila,Vila,,Vila,Nouns
Way,Fasin,,Façon,Nouns
Week,Wik,,La semaine,Nouns
Weekend,Wiken,,Fin de semaine,Nouns
Wharf,Wof,,Quai,Nouns
Eight,Eit,ghewelu,Huit,Numbers
Five,faev,kelime,Cinq,Numbers
Two,Tu,kerue,Deux,Numbers
eighteen,eitin,ghangavuludomwaghaewelu,dix-huit,Numbers
eleven,leven,ghangavuludomwagataghale,Onze,Numbers
fifteen,fiftin,ghangavuludomwakelime,quinze,Numbers
four,foa,kevesi,quatre,Numbers
fourteen,foatin,ghangavuludomwakevesi,Quatorze,Numbers
nine,naen,kesiwo,neuf,Numbers
nineteen,naentin,ghangavuludomwakesiwo,dix-neuf,Numbers
One,Wan,gataghale,Un,Numbers
seven,seven,ghembitu,Sept,Numbers
seventeen,seventin,ghangavuludomwaghembitu,dix-sept,Numbers
six,siks,keono,six,Numbers
sixteen,sikstin,ghangavuludomwakeono,seize,Numbers
ten,ten,ghangavulu,Dix,Numbers
thirteen,tirtin,ghangavuludomwaketolu,treize,Numbers
three,tri,ketolu,Trois,Numbers
twelve,twelf,ghangavuludomwakerue,Douze,Numbers
twenty,twenti,ngavulukerue,vingt,Numbers
Face,Fes,,Visage,Body Parts
adult,Bigman,,adulte,People
aunt,Anti,,tante,People
baby,Bebi,,bébé,People
boy,Boe,,garçon,People
boyfriend,Boe(fren),,copain,People
brother,Brata,,frère,People
Captain,Kapten,,Capitaine,People
Chief,Jif,,Chef,People
child,pikinini,,enfant,People
cousin,kasin brata,,cousin,People
cousin,kasin sista,,cousin,People
Dad,Papa,,Papa,People
dad,dadi,,papa,People
Daughter,Gel,,Fille,People
Daughter,Dota,,Fille,People
Doctor,Dokta,,Docteur,People
Everyone,Evriwan,,Toutes les personnes,People
family,famili,,famille,People
father,papa,,père,People
father,dadi,,père,People
Friend,Fren,,Ami,People
girl,gel,,fille,People
girlfriend,gelfren,,petite amie,People
granddaughter,smol abu,,petite fille,People
granddaughter,smol bubu,,petite fille,People
grandmother,abu,,grand-mère,People
grandmother,bubu,,grand-mère,People
grandfather,abu,,grand-père,People
grandfather,bubu,,grand-père,People
grandson,smol abu,,petit fils,People
grandson,smol bubu,,petit fils,People
husband,man,,mari,People
In-law,Tawian,,,People
Leader,Lida,,Chef,People
man,man,,homme,People
Minister,Minista,,Ministre,People
mother,mami,,mère,People
nephew,smol angkel,,neveu,People
niece,smol anti,,nièce,People
Nurse,Nes,,Infirmière,People
Officer,Ofisa,,Officier,People
parent,mami mo dadi,,parent,People
Police,Polis,,Police,People
sister,sista,,sœur,People
son,boe,,fils,People
Tourist,Turis,,Touristique,People
Two of them,Tufala,,Deux d'entre eux,People
uncle,angkel,,oncle,People
wife,waef,,femme,People
woman,woman,,femme,People
You,Yu,,Toi,People
Above,Antap,,Au dessus,Geography
Another,Nara,wagineu,Un autre,Pronouns
he,em,,il,Pronouns
i,mi,,je,Pronouns
it,hem,,il,Pronouns
Other,Nara,tuegi,Autre,Pronouns
She,Em,,Elle,Pronouns
She,Hem,,Elle,Pronouns
they,Olgeta,,ils,Pronouns
we,yumi,,nous,Pronouns
Who,Hu,,Qui,Pronouns
Whose,Blong hu,,Dont,Pronouns
you,yu,,toi,Pronouns
you all,yufala,,vous tous,Pronouns
He,Hem,,Il,Pronouns
book,Buk,,livre,School
calendar,Kalenda,,calendrier,School
chalk,Jok,,craie,School
clock,klok,,l'horloge,School
computer,Kompiuta,,ordinateur,School
desk,des,,bureau,School
dictionary,diksonari,,dictionnaire,School
eraser,raba,,la gomme,School
map,map,,carte,School
notebook,notbuk,,carnet,School
pen,pen,,stylo,School
pencil,pensel,,crayon,School
school,skul,,école,School
Could you please repeat?,Plis yu save ripitim?,,Pourriez-vous répéter s'il vous plaît?,Sentences
Could you speak slowly?,Plis yu toktok slo nomo,Go gato rorongo,Pourriez-vous parler lentement?,Sentences
Do you speak English?,Yu save toktok English?,Go gato lei leo tuturani,Parlez vous anglais?,Sentences
Good afternoon,Gud aftanun,Revrevgarea,bonne après-midi,Sentences
Good evening,Gud naet,Bongarea,Bonsoir,Sentences
Good morning,Gud moning,Rangarea,Bonjour,Sentences
How are you?,Olsem wanem?,Gom waso?,Ca va?,Sentences
I don't understand,Mi no harem save,Hatie ve nam rongo hogo,Je ne comprends pas,Sentences
I don't speak local language,Mi no save toktok local language,Neu nao ghato saumwegi leonda,Je ne parle pas francais,Sentences
I'm from ______,Mi blo ______,Neu ta ______,Je viens de ______,Sentences
I'm glad to meet you/see you again,Mi glad blo mitim/lukim yu,Neu nam rangarea huri nam lehigo,C'est un plaisir de faire votre conaissance,Sentences
I'm good,Mi oraet,Nam waso,Je vais bien,Sentences
My name is ________,Nem blo mi ________,Hena ngu ______,Je m'appelle ________,Sentences
That's it,Hemia nao,Vovohoi,C'est tout,Sentences
What's your name?,Wanem nem blo yu?,Ningo henam hine?,Comment t'appelles tu?,Sentences
Where are you from?,Yu blo wea?,Ningo ta logo?,D'où venez-vous?,Sentences
Where is ...,... hemi wea?,...logo?,Où est la...,Sentences
Time,Taem,,Temps,Time
When,Taem,,Quand,Time
Year,Yia,,An,Time
Allow,Letem,,Permettre,Verbs
Argue,Raorao,,Se disputer,Verbs
Arrive,Kamtru,,Arrivée,Verbs
As far ,Kasem,,Aussi loin,Verbs
beat,Kilim,,battre,Verbs
bend,Benem,,pliez,Verbs
Block,Blokem,,bloquer,Verbs
Blow,Blo,,Coup,Verbs
break,Brekem,,Pause,Verbs
Build,Wokem,,Construire,Verbs
build,Bildim,,construire,Verbs
burn,Bonem,,brûler,Verbs
Bury,Berem,,Enterrer,Verbs
buy,Pem,,acheter,Verbs
Call,Singaot,,Appel,Verbs
call,Kolem,,appel,Verbs
Came ashore,Kam soa,,,Verbs
Can,Save,,Pouvez,Verbs
carry,Karem,,porter,Verbs
Catch,Kasem,,Capture,Verbs
Catch,Hukum,,Capture,Verbs
Change,Jenisim,,Changement,Verbs
Chase,Ronem,,Chasse,Verbs
Chat,Storian,,Bavarder,Verbs
Choose,Jusum,,Choisir,Verbs
clean,klinim,,nettoyer,Verbs
Close,Klosem,,Fermer,Verbs
close,sarem,,Fermer,Verbs
Come,Kam,,Viens,Verbs
Come back,Kambak,,Reviens,Verbs
Come from,Kamaot,,Viens de,Verbs
cook,Kukum,,cuisinier,Verbs
count,kaon,,compter,Verbs
Credit,Kaon,,Crédit,Verbs
cry,krae,,cri,Verbs
cut,katem,,Couper,Verbs
Dance,Danis,,Danse,Verbs
Decorate,Flasem,,Décorer,Verbs
die,ded,,mourir,Verbs
die,lus,,mourir,Verbs
Dig,Digim,,Creuser,Verbs
draw,droem,,dessiner,Verbs
drink,dring,,boisson,Verbs
drive,draever,,conduire,Verbs
Drown,Draon,,Noyer,Verbs
Dry,Draem,,Sec,Verbs
Earn (money),Winim,,Gagner (de l'argent),Verbs
eat,kakae,,manger,Verbs
Erupt,Faerap,,Éclater,Verbs
Fail,Fail,,Échouer,Verbs
Fall,Foldaon,,Tomber,Verbs
feed,fidim,,alimentation,Verbs
Fetch,Kasem,,Chercher,Verbs
Fight,Faet,,lutter,Verbs
Fight,Raorao,,lutter,Verbs
Fight,Faet,,lutter,Verbs
Find,Faenem,,Trouver,Verbs
Finish,Finis,,terminer,Verbs
Follow,Folem,,Suivre,Verbs
Forget,Fogetem,,Oublier,Verbs
Get,Kasem,,Obtenir,Verbs
Get up,Girap,,Se lever,Verbs
Give,Givim,,Donner,Verbs
Give Back,Givimbak,,Redonner,Verbs
Give Birth,Bonem,,Accoucher,Verbs
go,go,,aller,Verbs
Go ahead,Gohed,,Vas-y,Verbs
Go down,Go daon,,Descendre,Verbs
grow,gro,,croître,Verbs
hang,hangem,,pendre,Verbs
Heal,Kamgud,,Guérir,Verbs
hear,harem,,entendre,Verbs
Help,Helpem,,Aidez-moi,Verbs
Hit,Kilim,,Frappé,Verbs
Hold,Holem,,Tenir,Verbs
Hungry,Hangri,Mwaruruhi,Affamé,Verbs
Hunt,Ronem,,Chasse,Verbs
Hurry,Hariap,,Se dépêcher,Verbs
Iron,Aeanem,,Le fer,Verbs
Join,Joenem,,Joindre,Verbs
jump,jam,,saut,Verbs
Jump down,Jamdaon,,Sauter,Verbs
kill,kilim,,tuer,Verbs
kiss,kisim,,baiser,Verbs
Know,Save,,Connaître,Verbs
laugh,laf,,rire,Verbs
learn,lanem,,apprendre,Verbs
Leave,Livim,,Laisser,Verbs
Lie,Kiaman,,Mensonge,Verbs
lie down,ledaon,,s'allonger,Verbs
lift,leftemap,,ascenseur,Verbs
Like,Laekem,,Comme,Verbs
listen,lisin,,écouter,Verbs
Loan,Kaon,,Prêt,Verbs
Look at,Luk,,Regarder,Verbs
Look for,Lukaot,,Chercher,Verbs
Lose,Lus,sala,Perdre,Verbs
Lose,Lusum,,Perdre,Verbs
Lost,Lus,,Perdu,Verbs
Lost,Lusum,,Perdu,Verbs
love,laf,,amour,Verbs
Make,Mekem,,Faire,Verbs
Make Noise,Mek Noes,,Faire du bruit,Verbs
Mark,Mak,,marque,Verbs
marry,mared,,marier,Verbs
melt,ron,,fondre,Verbs
Miss,Mestem,,Mademoiselle,Verbs
Move,Muv,,Bouge toi,Verbs
Need,Nidim,,Avoir besoin,Verbs
open,open,,ouvrir,Verbs
Paint,Pentem,,Peindre,Verbs
Pass,Pasem,,Passer,Verbs
pay,pem,,Payer,Verbs
Pay for,Pemaot,,Payer pour,Verbs
Peace,Pis,,Paix,Verbs
Permit,Letem,,Permis,Verbs
Pick up,Pikimap,,Ramasser,Verbs
play,pleiplei,,jouer,Verbs
Point,Poen,,Point,Verbs
pray,prei,,prier,Verbs
Prevent,Blokem,,Prévenir,Verbs
pull,pulum,,tirer,Verbs
Punish,Panisim,,Punir,Verbs
push,pusum,,pousser,Verbs
Repair,Fiksimap,,réparation,Verbs
Rest,Spel,,repos,Verbs
Retaliate,Givimbak,,User de représailles,Verbs
Return,Kambak,,Revenir,Verbs
Rise,Kamap,,Augmenter,Verbs
Rub,Rabem,,Frotter,Verbs
run,ron,,courir,Verbs
run,ronron,,courir,Verbs
say,telem,,dire,Verbs
Scream,Singaot,,Crier,Verbs
see,luk,,voir,Verbs
sell,salem,,vendre,Verbs
Send,Sanem,,Envoyer,Verbs
shake,sekem,,secouer,Verbs
Sharpen,Sapenem,,Affiner,Verbs
shoot,sutum,,tirer,Verbs
Shout,Singaot,,Crier,Verbs
Shut,Sarem,,Fermer,Verbs
Sing,Singsing,,Chanter,Verbs
Sink,Draon,,Évier,Verbs
sit,sidaon,,asseoir,Verbs
Sleep,Slip,,Dormir,Verbs
smell,smelem,,odeur,Verbs
smile,smael,,sourire,Verbs
Song,Singsing,,Chanson,Verbs
stand,stanap,,supporter,Verbs
Start,Statem,,Début,Verbs
Steal,Stilim,,Voler,Verbs
stir,tanem,,remuer,Verbs
Stone,Stonem,,Pierre,Verbs
stop,stop,,Arrêtez,Verbs
Story,Storian,,Récit,Verbs
